"equipo","modelo","modelado","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"BAL","modelo_3","profunda",0.2,0.2,"0.4",0.02,10,0.765346534653465,0.797321428571429,0.725555555555556,0.790265486725664,0.783333333333333
"BAL","modelo_4","no_profunda",0.3,0.2,"NA",0.06,10,0.736633663366337,0.771428571428571,0.693333333333333,0.764601769911504,0.757894736842105
"BAL","modelo_4","profunda",0.3,0.6,"0.5",0.02,20,0.769306930693069,0.800892857142857,0.73,0.793805309734513,0.786842105263158
"CLE","modelo_1","no_profunda",0.2,0.3,"NA",0.06,40,0.666336633663366,0.710377358490566,0.617708333333333,0.690825688073395,0.672321428571429
"CLE","modelo_1","profunda",0.3,0.5,"0.4",0.03,40,0.665346534653465,0.709433962264151,0.616666666666667,0.689908256880734,0.671428571428571
"CLE","modelo_2","no_profunda",0.5,0.3,"NA",0.03,20,0.694059405940594,0.736792452830189,0.646875,0.71651376146789,0.697321428571429
"CLE","modelo_2","profunda",0.2,0.3,"0.2",0.02,60,0.721782178217822,0.763207547169811,0.676041666666667,0.742201834862385,0.722321428571429
"CLE","modelo_3","no_profunda",0.2,0.6,"NA",0.03,10,0.71980198019802,0.761320754716981,0.673958333333333,0.740366972477064,0.720535714285714
"CLE","modelo_3","profunda",0.6,0.3,"0.6",0.01,60,0.745544554455446,0.785849056603774,0.701041666666667,0.764220183486239,0.74375
"CLE","modelo_4","no_profunda",0.2,0.4,"NA",0.1,40,0.652475247524752,0.697169811320755,0.603125,0.677981651376147,0.659821428571429
"CLE","modelo_4","profunda",0.3,0.2,"0.3",0.05,10,0.69009900990099,0.733018867924528,0.642708333333333,0.712844036697248,0.69375
"JAX","modelo_1","no_profunda",0.2,0.6,"NA",0.03,60,0.605607476635514,0.651612903225806,0.542222222222222,0.656910569105691,0.662295081967213
"JAX","modelo_1","profunda",0.4,0.2,"0.3",0.03,40,0.608411214953271,0.654032258064516,0.545555555555556,0.659349593495935,0.664754098360656
"JAX","modelo_2","no_profunda",0.4,0.3,"NA",0.1,60,0.592523364485981,0.640322580645161,0.526666666666667,0.645528455284553,0.650819672131148
"JAX","modelo_2","profunda",0.2,0.4,"0.5",0.03,20,0.768224299065421,0.791935483870968,0.735555555555556,0.798373983739837,0.804918032786885
"JAX","modelo_3","no_profunda",0.2,0.6,"NA",0.03,20,0.72803738317757,0.757258064516129,0.687777777777778,0.763414634146341,0.769672131147541
"JAX","modelo_3","profunda",0.6,0.3,"0.5",0.01,60,0.719626168224299,0.75,0.677777777777778,0.75609756097561,0.762295081967213
"JAX","modelo_4","no_profunda",0.5,0.3,"NA",0.02,40,0.657943925233645,0.696774193548387,0.604444444444444,0.702439024390244,0.708196721311475
"JAX","modelo_4","profunda",0.2,0.2,"0.3",0.05,20,0.651401869158878,0.691129032258065,0.596666666666667,0.696747967479675,0.702459016393443
"NO","modelo_1","no_profunda",0.4,0.6,"NA",0.01,40,0.661111111111111,0.73030303030303,0.552380952380952,0.724812030075188,0.719402985074627
"NO","modelo_1","profunda",0.6,0.5,"0.4",0.02,20,0.651851851851852,0.722727272727273,0.54047619047619,0.717293233082707,0.711940298507463
"NO","modelo_2","no_profunda",0.4,0.2,"NA",0.01,10,0.772222222222222,0.821212121212121,0.695238095238095,0.815037593984962,0.808955223880597
"NO","modelo_2","profunda",0.5,0.3,"0.2",0.02,60,0.75,0.803030303030303,0.666666666666667,0.796992481203007,0.791044776119403
"NO","modelo_3","no_profunda",0.6,0.5,"NA",0.03,20,0.799074074074074,0.843181818181818,0.729761904761905,0.836842105263158,0.830597014925373
"NO","modelo_3","profunda",0.2,0.5,"0.3",0.02,20,0.802777777777778,0.846212121212121,0.73452380952381,0.83984962406015,0.833582089552239
"NO","modelo_4","no_profunda",0.2,0.3,"NA",0.02,10,0.777777777777778,0.825757575757576,0.702380952380952,0.819548872180451,0.813432835820896
"NO","modelo_4","profunda",0.4,0.4,"0.3",0.03,10,0.768518518518518,0.818181818181818,0.69047619047619,0.81203007518797,0.805970149253731
"NYG","modelo_1","no_profunda",0.2,0.5,"NA",0.05,20,0.719565217391304,0.732692307692308,0.7025,0.747058823529412,0.762
"NYG","modelo_1","profunda",0.2,0.2,"0.4",0.06,40,0.66304347826087,0.682692307692308,0.6375,0.696078431372549,0.71
"NYG","modelo_2","no_profunda",0.4,0.2,"NA",0.03,40,0.731521739130435,0.743269230769231,0.71625,0.757843137254902,0.773
"NYG","modelo_2","profunda",0.3,0.4,"0.3",0.02,20,0.709782608695652,0.724038461538462,0.69125,0.738235294117647,0.753
"NYG","modelo_3","no_profunda",0.2,0.3,"NA",0.01,60,0.733695652173913,0.745192307692308,0.71875,0.759803921568627,0.775
"NYG","modelo_3","profunda",0.3,0.4,"0.6",0.02,40,0.71304347826087,0.726923076923077,0.695,0.741176470588235,0.756
"NYG","modelo_4","no_profunda",0.3,0.2,"NA",0.05,60,0.702173913043478,0.717307692307692,0.6825,0.731372549019608,0.746
"NYG","modelo_4","profunda",0.6,0.3,"0.2",0.03,20,0.720652173913043,0.733653846153846,0.70375,0.748039215686275,0.763
"PIT","modelo_1","no_profunda",0.4,0.6,"NA",0.05,40,0.62,0.729365079365079,0.4046875,0.71796875,0.706923076923077
"PIT","modelo_1","profunda",0.3,0.4,"0.6",0.03,10,0.573684210526316,0.694444444444444,0.3359375,0.68359375,0.673076923076923
"PIT","modelo_2","no_profunda",0.3,0.4,"NA",0.01,20,0.741052631578947,0.820634920634921,0.584375,0.8078125,0.795384615384615
